image_name,face_id,yaw,pitch,roll,face_detected,Label
11 005.jpg,face_1,-2.049503088,-9.962429047,-0.052633785,Detected,Normal
11 006.jpg,face_1,-3.356969833,-10.16145515,0.992047191,Detected,Normal
11 007.jpg,face_1,-2.528460026,-9.611627579,1.009938598,Detected,Normal
11 008.jpg,face_1,-2.286364794,-9.68543148,0.297908813,Detected,Normal
11 015.jpg,face_1,-7.245448112,-7.970152855,0.622271717,Detected,Normal
11 019.jpg,face_1,-7.433616638,-6.817681313,-1.192228079,Detected,Normal
11 021.jpg,face_1,-0.316992253,-3.821190357,1.428485632,Detected,Normal
11 022.jpg,face_1,-7.976800442,-8.783979416,0.384778827,Detected,Normal
11 023.jpg,face_1,-8.016633987,-8.651532173,0.189965174,Detected,Normal
11 024.jpg,face_1,-7.880832672,-9.18526268,-0.204925656,Detected,Normal
11 028.jpg,face_1,0.729759097,-3.889236212,1.175741434,Detected,Normal
11 029.jpg,face_1,1.316192031,-4.060336113,1.134808183,Detected,Normal
11 031.jpg,face_1,-4.066900253,-8.462276459,-0.939664602,Detected,Normal
11 032.jpg,face_1,-3.675049782,-8.469247818,-0.521749973,Detected,Normal
11 034.jpg,face_1,1.877828598,-4.132770538,0.836950481,Detected,Normal
11 036.jpg,face_1,1.905857921,-4.28963089,1.134378314,Detected,Normal
11 044.jpg,face_1,-5.570134163,-4.306442261,4.541036606,Detected,Normal
11 046.jpg,face_1,1.370646954,-5.235990524,1.845944166,Detected,Normal
11 047.jpg,face_1,-0.2600981,-6.158429146,1.916781902,Detected,Normal
11 048.jpg,face_1,2.080509186,-5.421662807,1.124410748,Detected,Normal
11 049.jpg,face_1,1.730736256,-3.96995306,1.845099807,Detected,Normal
11 050.jpg,face_1,4.165448189,-9.891662598,-1.539959431,Detected,Normal
11 058.jpg,face_1,4.759755611,-9.707172394,-0.772678018,Detected,Normal
11 061.jpg,face_1,7.153119564,-10.7904911,-1.76930666,Detected,Normal
11 062.jpg,face_1,8.996925354,-11.04883957,-2.497787476,Detected,Normal
11 063.jpg,face_1,1.439804554,-6.250453949,1.39426136,Detected,Normal
11 065.jpg,face_1,3.210417271,-10.34036732,-0.261478841,Detected,Normal
11 067.jpg,face_1,-1.71275115,-9.95104599,1.428887248,Detected,Normal
11 068.jpg,face_1,2.338805676,-9.432748795,1.108708262,Detected,Normal
11 071.jpg,face_1,3.078254223,-5.323453426,1.236871243,Detected,Normal
11 072.jpg,face_1,4.424399376,-4.202935219,1.008274794,Detected,Normal
11 073.jpg,face_1,-7.734673977,-5.20194912,1.3662709,Detected,Normal
11 076.jpg,face_1,3.906715155,-3.431453228,1.158576012,Detected,Normal
11 078.jpg,face_1,2.715505362,-4.395906925,0.411155432,Detected,Normal
11 083.jpg,face_1,-7.521262646,-9.875993729,-0.198359773,Detected,Normal
11 084.jpg,face_1,-7.66009903,-10.14579582,-0.454936117,Detected,Normal
11 085.jpg,face_1,-6.798715591,-9.600401878,-0.950570107,Detected,Normal
11 086.jpg,face_1,0.847252071,-4.116760254,1.685719848,Detected,Normal
11 087.jpg,face_1,-6.321105957,-9.624193192,-1.146251202,Detected,Normal
11 095.jpg,face_1,-5.91343832,-9.831251144,-0.611858368,Detected,Normal
11 101.jpg,face_1,1.184579968,-6.285471916,1.009753704,Detected,Normal
11 102.jpg,face_1,1.466214895,-4.836755276,1.878755093,Detected,Normal
11 105.jpg,face_1,-9.499534607,-6.87525177,0.392649263,Detected,Normal
11 107.jpg,face_1,1.58829248,-4.30567646,1.886382818,Detected,Normal
11 108.jpg,face_1,1.360874414,-5.045109749,1.479801893,Detected,Normal
11 110.jpg,face_1,2.022410393,-5.252679348,1.556066275,Detected,Normal
11 111.jpg,face_1,2.162488937,-5.961803436,1.303618789,Detected,Normal
11 113.jpg,face_1,-4.029052734,-10.07620907,-2.299797058,Detected,Normal
11 114.jpg,face_1,-5.913591385,-9.927758217,-1.749011993,Detected,Normal
11 116.jpg,face_1,-7.430332184,-7.910270691,-0.216006845,Detected,Normal
11 117.jpg,face_1,2.275584221,-4.466359615,1.738781691,Detected,Normal
11 118.jpg,face_1,2.532601357,-4.707206249,1.736545444,Detected,Normal
11 119.jpg,face_1,2.459034204,-5.224443436,1.553890586,Detected,Normal
11 123.jpg,face_1,2.127826691,-5.530609131,1.176425219,Detected,Normal
11 125.jpg,face_1,1.980719924,-4.971975327,1.933767319,Detected,Normal
11 126.jpg,face_1,2.025397062,-5.122748375,1.751830935,Detected,Normal
11 128.jpg,face_1,1.730626106,-4.049566269,2.113926172,Detected,Normal
11 130.jpg,face_1,1.091558337,-5.267449379,2.2121768,Detected,Normal
11 131.jpg,face_1,0.824743748,-5.10957098,2.56965661,Detected,Normal
11 135.jpg,face_1,0.296671569,-6.711219788,1.189316511,Detected,Normal
